mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.29441165924072266,0.054506774623363674,0.06323237419128418,0.007690079248552981,3,sqrt,9,100,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 100}",0.5555555555555556,0.5,0.4444444444444444,0.4117647058823529,0.7058823529411765,0.5235294117647059,0.10351587684682027,59
0.43183307647705077,0.11942712592622551,0.08549017906188965,0.03432651545281716,3,sqrt,9,150,"{'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 150}",0.5555555555555556,0.5555555555555556,0.3888888888888889,0.5294117647058824,0.6470588235294118,0.5352941176470588,0.0834044294951596,36
0.05008025169372558,0.025430201046135654,0.010569906234741211,0.0022404169120381124,3,log2,3,25,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 25}",0.6111111111111112,0.5555555555555556,0.5555555555555556,0.47058823529411764,0.7647058823529411,0.5915032679738562,0.0975587354616747,1
0.07162313461303711,0.0016058970449072574,0.01614217758178711,0.0004060907000074208,3,log2,3,50,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 50}",0.5555555555555556,0.5,0.5,0.5294117647058824,0.6470588235294118,0.54640522875817,0.05442525691912694,16
0.13942289352416992,0.0023086086304901932,0.033701753616333006,0.0064088530757783445,3,log2,3,100,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 100}",0.5555555555555556,0.5,0.5555555555555556,0.4117647058823529,0.6470588235294118,0.5339869281045752,0.07721275516665288,48
0.40929322242736815,0.2204592891591985,0.08159112930297852,0.028633565232014938,3,log2,3,150,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 150}",0.5555555555555556,0.5555555555555556,0.3333333333333333,0.4117647058823529,0.6470588235294118,0.5006535947712418,0.11257019681888099,96
0.04568023681640625,0.009685140058406844,0.012361478805541993,0.002993457803847521,3,log2,6,25,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 6, 'n_estimators': 25}",0.5555555555555556,0.3888888888888889,0.4444444444444444,0.5882352941176471,0.6470588235294118,0.5248366013071896,0.09470585979963377,50
0.09813756942749023,0.013062239683605424,0.024330568313598634,0.004490797817565759,3,log2,6,50,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 6, 'n_estimators': 50}",0.6111111111111112,0.5555555555555556,0.3888888888888889,0.47058823529411764,0.7058823529411765,0.54640522875817,0.10978446761996592,16
0.1661916732788086,0.02586390652604171,0.03507871627807617,0.0031715396292541537,3,log2,6,100,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 6, 'n_estimators': 100}",0.5555555555555556,0.5,0.3888888888888889,0.47058823529411764,0.7058823529411765,0.5241830065359477,0.10560360305932086,51
0.3764050960540771,0.1347781231734561,0.08556532859802246,0.028625026571480746,3,log2,6,150,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 6, 'n_estimators': 150}",0.5555555555555556,0.5,0.4444444444444444,0.5294117647058824,0.6470588235294118,0.5352941176470588,0.06698629006702725,36
0.04898204803466797,0.0073136958115810075,0.01016697883605957,0.0015782174173270857,3,log2,9,25,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 9, 'n_estimators': 25}",0.5555555555555556,0.5,0.3333333333333333,0.47058823529411764,0.5882352941176471,0.48954248366013076,0.08828127584263032,102
